iter	MultiClass
0	1.777042928
1	1.764033224
2	1.748933717
3	1.738738952
4	1.722978643
5	1.700476171
6	1.686549301
7	1.674824551
8	1.654781509
9	1.640643585
10	1.629785997
11	1.619310634
12	1.608423932
13	1.59911133
14	1.590704344
15	1.578866147
16	1.570863103
17	1.562785341
18	1.55092498
19	1.53637208
20	1.526313871
21	1.510880662
22	1.499155629
23	1.493917834
24	1.485406714
25	1.479288841
26	1.472242938
27	1.462584717
28	1.454678113
29	1.444114921
30	1.437008695
31	1.430210186
32	1.421370635
33	1.412382367
34	1.406359572
35	1.396639469
36	1.388938048
37	1.381125869
38	1.376597618
39	1.366499872
40	1.3579209
41	1.349945614
42	1.345870764
43	1.337477073
44	1.330569574
45	1.325085647
46	1.320088423
47	1.313231331
48	1.30523166
49	1.301511561
50	1.295295901
51	1.290044065
52	1.282626998
53	1.275557727
54	1.265169874
55	1.259841815
56	1.254892837
57	1.246848278
58	1.238103973
59	1.228298789
60	1.222273567
61	1.213050107
62	1.209428305
63	1.202161612
64	1.195858222
65	1.189861007
66	1.185409108
67	1.177143735
68	1.169415292
69	1.161443225
70	1.154575623
71	1.148592367
72	1.144243721
73	1.137215447
74	1.129933984
75	1.124156515
76	1.117629073
77	1.10991426
78	1.103216276
79	1.099062615
80	1.09274615
81	1.088783055
82	1.082305096
83	1.075492602
84	1.07160882
85	1.067384635
86	1.063325396
87	1.06002094
88	1.05374894
89	1.04849783
90	1.043975097
91	1.039197366
92	1.034874772
93	1.02825863
94	1.025000216
95	1.021444606
96	1.016288673
97	1.010093911
98	1.003277329
99	1.000230125
100	0.9971000142
101	0.9918884258
102	0.9869003964
103	0.979153436
104	0.9743858843
105	0.9675601882
106	0.9616662026
107	0.9574784167
108	0.9512044348
109	0.9460504195
110	0.9421089595
111	0.939905608
112	0.9373279136
113	0.9326557303
114	0.9278805926
115	0.9200256079
116	0.9159973497
117	0.913548696
118	0.9082516698
119	0.9039104678
120	0.9017000494
121	0.8971248652
122	0.8921154675
123	0.8887732266
124	0.8842164145
125	0.8804885506
126	0.8775885444
127	0.8724401362
128	0.8693870983
129	0.8652474103
130	0.8607400225
131	0.8573689778
132	0.849987901
133	0.8445168541
134	0.840856216
135	0.8387467161
136	0.8345339142
137	0.8302040173
138	0.8254251427
139	0.8208086167
140	0.8168827633
141	0.8120792267
142	0.8081678087
143	0.804307287
144	0.7981532232
145	0.7914791556
146	0.7869606366
147	0.7826855931
148	0.7780282989
149	0.7737940094
150	0.7691596517
151	0.7650673718
152	0.7611930113
153	0.7565262173
154	0.752742384
155	0.7499483068
156	0.7479166508
157	0.7437152088
158	0.7417966901
159	0.7373648856
160	0.7345394922
161	0.7299637363
162	0.7256506272
163	0.7237054545
164	0.7208066188
165	0.7173865648
166	0.7146890583
167	0.7090159048
168	0.7047023071
169	0.7005022563
170	0.6960780505
171	0.6931301521
172	0.688830802
173	0.6864030173
174	0.6844781312
175	0.6807265189
176	0.6789478277
177	0.6740040947
178	0.6698180383
179	0.6650203558
180	0.6614424426
181	0.658545959
182	0.6552868929
183	0.65121448
184	0.6477154937
185	0.6458859768
186	0.6419886239
187	0.6384279643
188	0.6327615248
189	0.6292123337
190	0.625910662
191	0.623765068
192	0.6201915926
193	0.6184933693
194	0.6146359756
195	0.6115028477
196	0.6099543807
197	0.6062198441
198	0.6034671359
199	0.6004732487
200	0.5973874573
201	0.5928323137
202	0.5884891466
203	0.5843672171
204	0.5827086213
205	0.578787527
206	0.5745785934
207	0.5712376397
208	0.5681695945
209	0.5652097413
210	0.5618884898
211	0.5591415395
212	0.5563841901
213	0.5531188943
214	0.5502700525
215	0.5474777314
216	0.5448744056
217	0.5421873961
218	0.539391004
219	0.5368024179
220	0.5335429775
221	0.5318189017
222	0.5281806553
223	0.5264063399
224	0.5241379227
225	0.52256149
226	0.5200136875
227	0.5171702633
228	0.515000052
229	0.5131234969
230	0.5115471107
231	0.5098717965
232	0.5078604924
233	0.5057584068
234	0.5031576829
235	0.4994969924
236	0.496288634
237	0.4935824908
238	0.4912740533
239	0.4889616229
240	0.4863298835
241	0.4849531754
242	0.482229762
243	0.4792716936
244	0.4771377419
245	0.4759968985
246	0.4746214429
247	0.47242443
248	0.4698233001
249	0.4679174982
250	0.4655731994
251	0.4640793849
252	0.4627314452
253	0.4606284155
254	0.4584893608
255	0.4561206336
256	0.4536866959
257	0.4511963507
258	0.4498684427
259	0.4483900642
260	0.4473682026
261	0.4460831082
262	0.443329495
263	0.4416941798
264	0.4393504841
265	0.4375661436
266	0.4362626384
267	0.4350574668
268	0.4332587533
269	0.4308459931
270	0.4287902358
271	0.4278013422
272	0.4268117337
273	0.4241424951
274	0.4223766205
275	0.4214345869
276	0.4205440655
277	0.419370139
278	0.4184611006
279	0.4158213994
280	0.4140127185
281	0.4118338876
282	0.4097062907
283	0.4080783079
284	0.4069061878
285	0.4060625708
286	0.4044932583
287	0.4031178597
288	0.4022948532
289	0.4004983789
290	0.3977706394
291	0.3968142669
292	0.3949167242
293	0.3930163427
294	0.390395494
295	0.3894821123
296	0.3869402502
297	0.3854558919
298	0.3845340177
299	0.3835061636
300	0.3819845379
301	0.3810239995
302	0.3801101954
303	0.3793331921
304	0.3768993271
305	0.3759065393
306	0.3750404764
307	0.3740532049
308	0.372937487
309	0.371898297
310	0.3709331941
311	0.3684249359
312	0.3668146987
313	0.3653852429
314	0.3642786622
315	0.3625044988
316	0.3606913411
