iter	Passed	Remaining
0	1912	1910899
1	3846	1919230
2	5760	1914511
3	7691	1915187
4	9434	1877458
5	11121	1842518
6	11346	1609550
7	13041	1617187
8	14724	1621363
9	16388	1622499
10	18075	1625109
11	19749	1626050
12	21428	1626885
13	23114	1627938
14	24784	1627525
15	26606	1636306
16	28358	1639813
17	30080	1641067
18	32131	1659015
19	34077	1669777
20	35847	1671157
21	37623	1672551
22	39376	1672626
23	41124	1672397
24	42832	1670459
25	44593	1670533
26	46606	1679557
27	48484	1683120
28	50223	1681623
29	51904	1678235
30	53617	1675989
31	55308	1673081
32	57043	1671533
33	58750	1669202
34	60519	1668598
35	62288	1667954
36	63972	1665021
37	65733	1664086
38	67430	1661556
39	69107	1658569
40	70854	1657306
41	73971	1687255
42	76011	1691689
43	79537	1728127
44	83288	1767567
45	85561	1774463
46	87237	1768881
47	88925	1763691
48	90619	1758758
49	92393	1755473
50	94071	1750462
51	95830	1747055
52	97536	1742771
53	99276	1739170
54	100922	1734033
55	102667	1730679
56	104338	1726163
57	105989	1721408
58	107699	1717719
59	109382	1713662
60	111015	1708913
61	112749	1705795
62	114510	1703120
63	116190	1699285
64	117928	1696363
65	119703	1693988
66	121840	1696677
67	123932	1698610
68	125939	1699269
69	127929	1699639
70	129900	1699683
71	131853	1699449
72	133788	1698931
73	135723	1698371
74	137715	1698487
75	139586	1697073
76	141507	1696253
77	143469	1695880
78	145446	1695650
79	147350	1694527
80	149207	1692863
81	151100	1691590
82	152914	1689432
83	154663	1686566
84	156302	1682550
85	157993	1679138
86	159734	1676297
87	161444	1673156
88	163229	1670813
89	164974	1668076
90	166658	1664758
91	168396	1661998
92	170080	1658738
93	172024	1658025
94	173650	1654250
95	175404	1651721
96	177502	1652421
97	179334	1650611
98	181034	1647598
99	182816	1645352
100	184520	1642414
101	186290	1640083
102	188119	1638281
103	189890	1635979
104	191715	1634150
105	193495	1631930
106	195305	1629980
107	197099	1627895
108	198904	1625910
109	200672	1623621
110	202445	1621386
111	204254	1619444
112	206122	1617967
113	207856	1615443
114	209687	1613679
115	211416	1611135
116	213137	1608551
117	214951	1606669
118	217881	1613054
119	220099	1614060
120	223447	1623225
121	227413	1636632
122	229611	1637146
123	231354	1634405
124	233053	1631376
125	234770	1628484
126	236409	1625079
127	238058	1621774
128	239746	1618753
129	241445	1615828
130	243174	1613118
131	244882	1610288
132	246594	1607500
133	248294	1604649
134	249943	1601489
135	251600	1598405
136	253323	1595752
137	255015	1592921
138	256718	1590175
139	258496	1587906
140	260168	1584996
141	261816	1581962
142	263636	1579977
143	265480	1578133
144	267282	1576045
145	269478	1576267
146	271625	1576164
147	273800	1576202
148	275885	1575693
149	278026	1575484
150	280092	1574822
151	282211	1574444
152	284281	1573765
153	286401	1573346
154	288536	1572988
155	290855	1573602
156	293251	1574591
157	295683	1575732
158	298074	1576609
159	300236	1576240
160	302458	1576164
161	304585	1575573
162	306763	1575220
163	308866	1574466
164	310592	1571786
165	312352	1569291
166	314049	1566487
167	315759	1563760
168	317476	1561082
169	319263	1558755
170	321239	1557355
171	322926	1554551
172	324774	1552533
173	326891	1551796
174	328719	1549678
175	330466	1547181
176	332314	1545167
177	334038	1542580
178	335787	1540118
179	337534	1537658
180	339274	1535170
181	341076	1532972
182	342778	1530329
183	344546	1527989
184	346268	1525454
185	348017	1523046
186	349708	1520392
187	351411	1517798
188	353103	1515167
189	355022	1513518
190	356794	1511239
191	358488	1508640
192	360293	1506513
193	362023	1504075
194	363999	1502664
195	367240	1506437
196	369427	1505839
197	372931	1510562
198	376637	1516012
199	379089	1516356
200	380830	1513848
201	382590	1511422
202	384298	1508797
203	385992	1506127
204	387637	1503276
205	389348	1500692
206	391050	1498082
207	392760	1495511
208	394415	1492740
209	396201	1490472
210	397898	1487877
211	399556	1485143
212	401379	1483031
213	403092	1480517
214	404784	1477935
215	406441	1475230
216	408086	1472496
217	409790	1469981
218	411514	1467547
219	413173	1464888
220	414801	1462129
221	416478	1459550
222	418333	1457602
223	420451	1456564
224	422536	1455403
225	424589	1454124
226	426682	1452976
227	428687	1451522
228	430647	1449908
229	432622	1448345
230	434635	1446903
231	436631	1445400
232	438578	1443733
233	440495	1441964
234	442430	1440253
235	444400	1438653
236	446470	1437371
237	448362	1435515
238	450096	1433153
239	451772	1430614
240	453423	1428003
241	455064	1425368
242	456787	1422997
243	458511	1420634
244	460174	1418088
245	461907	1415764
246	463555	1413188
247	465301	1410915
248	467217	1409156
249	468928	1406784
250	470755	1404764
251	472841	1403513
252	474723	1401652
253	476590	1399748
254	478333	1397482
255	480028	1395082
256	481814	1392950
257	483561	1390708
258	485277	1388381
259	487068	1386272
260	488850	1384138
261	490569	1381831
262	492336	1379666
263	494011	1377243
264	495739	1374974
265	497444	1372647
266	499174	1370394
267	500850	1367994
268	502648	1365933
269	504329	1363558
270	506012	1361192
271	507679	1358788
272	509331	1356351
273	511602	1355560
274	514694	1356921
275	516727	1355473
276	520165	1357688
277	524011	1360922
278	526354	1360219
279	528151	1358102
280	529811	1355638
281	531449	1353122
282	533162	1350802
283	534833	1348382
284	536586	1346174
285	538474	1344303
286	540473	1342710
287	542602	1341434
288	544119	1338647
289	545571	1335708
290	546978	1332671
291	548429	1329754
292	549812	1326680
293	551207	1323648
294	552666	1320779
295	554075	1317801
296	555515	1314907
297	556952	1312014
298	558387	1309129
299	559772	1306135
300	561154	1303147
301	562833	1300853
302	564733	1299073
303	566627	1297278
304	568501	1295438
305	570337	1293511
306	572246	1291749
307	574158	1289992
308	576063	1288219
309	577886	1286262
310	579679	1284241
311	581415	1282095
312	583157	1279965
313	584920	1277884
314	586632	1275691
315	588169	1273127
316	589661	1270469
