"Heaving frequency in [Hz],  from motor excitations",Wind speed [m/s],0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
1.0,10,4.042515,0.0,0.0,0.0,0.0,3.8929536,0.0,3.963215,0.0,2.8582194,0.0,0.0,0.0,0.0,3.8977258,0.0,0.0,0.0,2.8314054,0.0,0.0,2.264368,0.0,0.0,0.0,1.6003952,2.032161,2.3898368,3.6931255,2.8886075,3.4617481,4.320625,0.0,0.0,1.9741167,0.0,0.0,2.3388488,3.5096743,4.622743,0.0,2.684005,2.4109693,0.0,0.0,0.0,3.8047523,0.0,4.4261255,0.0,4.1645923,0.0,0.0,0.0,0.0,0.0,2.6396348,3.9537387,1.6178902,0.0,0.0,3.574184,0.0,0.0,0.0,0.0,0.5590406,0.0,2.9689052,4.465462,3.624009,0.0,0.0,4.279246,0.0,0.0,0.0,5.1032147,0.0,0.0,3.6744668,0.0,0.0,2.814942,0.0,1.0000429,5.1985044,0.0,3.958622,4.536807,4.110821,3.4133148,0.0,2.4205887,3.8949585,2.348359,0.0,3.7596412,3.219124,0.0,2.5640175,0.0,3.1444008,1.9532819,0.0,0.0,0.0,0.0,2.036751,0.0,3.3658412,3.795781,0.0,4.376452,0.0,4.203546,0.0,0.0,3.2319329,0.0,3.368277,3.2528753,4.6741652,1.8023871,0.0,0.0,3.3457732,2.939517
1.0,10,4.0425153,0.0,0.0,0.0,0.0,3.8929524,0.0,3.963215,0.0,2.8582191,0.0,0.0,0.0,0.0,3.8977275,0.0,0.0,0.0,2.831404,0.0,0.0,2.264367,0.0,0.0,0.0,1.6003956,2.0321615,2.3898363,3.6931238,2.888606,3.4617484,4.320625,0.0,0.0,1.9741169,0.0,0.0,2.3388498,3.509674,4.6227417,0.0,2.6840057,2.41097,0.0,0.0,0.0,3.8047528,0.0,4.4261246,0.0,4.1645927,0.0,0.0,0.0,0.0,0.0,2.6396356,3.9537382,1.617891,0.0,0.0,3.5741832,0.0,0.0,0.0,0.0,0.55903995,0.0,2.9689033,4.4654613,3.6240084,0.0,0.0,4.279247,0.0,0.0,0.0,5.1032143,0.0,0.0,3.6744668,0.0,0.0,2.8149421,0.0,1.0000426,5.1985044,0.0,3.958623,4.536807,4.11082,3.4133146,0.0,2.4205885,3.8949583,2.348361,0.0,3.7596421,3.2191238,0.0,2.5640168,0.0,3.1444,1.9532806,0.0,0.0,0.0,0.0,2.0367515,0.0,3.3658426,3.7957807,0.0,4.376453,0.0,4.2035446,0.0,0.0,3.2319334,0.0,3.3682775,3.2528746,4.674165,1.8023876,0.0,0.0,3.3457732,2.939518
1.0,10,4.0425158,0.0,0.0,0.0,0.0,3.8929524,0.0,3.9632158,0.0,2.858219,0.0,0.0,0.0,0.0,3.8977282,0.0,0.0,0.0,2.8314052,0.0,0.0,2.2643676,0.0,0.0,0.0,1.600395,2.0321612,2.3898358,3.6931236,2.888607,3.4617498,4.3206263,0.0,0.0,1.9741162,0.0,0.0,2.3388495,3.509673,4.622742,0.0,2.6840062,2.4109712,0.0,0.0,0.0,3.8047526,0.0,4.426124,0.0,4.1645923,0.0,0.0,0.0,0.0,0.0,2.6396353,3.9537396,1.617891,0.0,0.0,3.5741842,0.0,0.0,0.0,0.0,0.55903965,0.0,2.9689028,4.465462,3.624009,0.0,0.0,4.279246,0.0,0.0,0.0,5.1032143,0.0,0.0,3.6744654,0.0,0.0,2.8149424,0.0,1.0000417,5.1985044,0.0,3.9586225,4.5368085,4.1108212,3.4133146,0.0,2.4205883,3.8949585,2.348361,0.0,3.7596412,3.2191248,0.0,2.5640178,0.0,3.1444004,1.9532802,0.0,0.0,0.0,0.0,2.0367508,0.0,3.365843,3.7957802,0.0,4.3764515,0.0,4.203544,0.0,0.0,3.231934,0.0,3.3682773,3.2528746,4.6741652,1.8023871,0.0,0.0,3.3457735,2.9395182
1.0,10,4.0425158,0.0,0.0,0.0,0.0,3.8929536,0.0,3.963215,0.0,2.8582199,0.0,0.0,0.0,0.0,3.8977273,0.0,0.0,0.0,2.8314056,0.0,0.0,2.2643685,0.0,0.0,0.0,1.6003947,2.03216,2.3898368,3.6931243,2.888606,3.4617474,4.3206244,0.0,0.0,1.9741167,0.0,0.0,2.3388486,3.509674,4.6227427,0.0,2.6840045,2.410969,0.0,0.0,0.0,3.804752,0.0,4.426125,0.0,4.1645927,0.0,0.0,0.0,0.0,0.0,2.6396348,3.9537396,1.6178907,0.0,0.0,3.5741844,0.0,0.0,0.0,0.0,0.5590404,0.0,2.9689047,4.4654617,3.6240077,0.0,0.0,4.2792454,0.0,0.0,0.0,5.1032143,0.0,0.0,3.6744664,0.0,0.0,2.8149414,0.0,1.0000434,5.198504,0.0,3.958623,4.5368075,4.1108212,3.4133136,0.0,2.420588,3.8949583,2.3483598,0.0,3.7596416,3.2191238,0.0,2.564016,0.0,3.1444004,1.953281,0.0,0.0,0.0,0.0,2.0367515,0.0,3.3658412,3.795781,0.0,4.376451,0.0,4.203545,0.0,0.0,3.2319324,0.0,3.368277,3.2528749,4.6741643,1.8023865,0.0,0.0,3.3457744,2.9395175
1.0,10,4.0425158,0.0,0.0,0.0,0.0,3.8929527,0.0,3.9632156,0.0,2.8582194,0.0,0.0,0.0,0.0,3.8977287,0.0,0.0,0.0,2.8314044,0.0,0.0,2.2643685,0.0,0.0,0.0,1.6003952,2.0321608,2.3898358,3.6931221,2.8886046,3.4617486,4.320625,0.0,0.0,1.9741167,0.0,0.0,2.3388486,3.5096738,4.6227407,0.0,2.6840053,2.4109693,0.0,0.0,0.0,3.8047545,0.0,4.4261246,0.0,4.1645927,0.0,0.0,0.0,0.0,0.0,2.6396348,3.9537377,1.6178919,0.0,0.0,3.574185,0.0,0.0,0.0,0.0,0.5590395,0.0,2.968902,4.465461,3.624009,0.0,0.0,4.2792454,0.0,0.0,0.0,5.1032143,0.0,0.0,3.674467,0.0,0.0,2.8149414,0.0,1.0000432,5.198505,0.0,3.9586241,4.536809,4.1108217,3.4133134,0.0,2.4205883,3.8949578,2.3483605,0.0,3.7596421,3.2191238,0.0,2.5640185,0.0,3.1444008,1.9532801,0.0,0.0,0.0,0.0,2.0367522,0.0,3.3658419,3.7957802,0.0,4.3764515,0.0,4.2035446,0.0,0.0,3.231933,0.0,3.3682764,3.2528732,4.6741643,1.8023872,0.0,0.0,3.3457747,2.9395177
1.0,10,4.0425153,0.0,0.0,0.0,0.0,3.8929532,0.0,3.9632156,0.0,2.8582187,0.0,0.0,0.0,0.0,3.8977294,0.0,0.0,0.0,2.8314047,0.0,0.0,2.2643669,0.0,0.0,0.0,1.6003946,2.0321608,2.389836,3.6931245,2.888607,3.4617505,4.3206263,0.0,0.0,1.9741164,0.0,0.0,2.3388503,3.5096729,4.6227417,0.0,2.6840067,2.410971,0.0,0.0,0.0,3.8047519,0.0,4.426125,0.0,4.1645927,0.0,0.0,0.0,0.0,0.0,2.6396356,3.9537382,1.6178906,0.0,0.0,3.5741856,0.0,0.0,0.0,0.0,0.55903965,0.0,2.968903,4.465463,3.6240096,0.0,0.0,4.2792463,0.0,0.0,0.0,5.1032157,0.0,0.0,3.6744668,0.0,0.0,2.8149421,0.0,1.0000417,5.1985035,0.0,3.9586227,4.5368085,4.1108212,3.4133148,0.0,2.420588,3.894959,2.3483613,0.0,3.7596412,3.2191248,0.0,2.564018,0.0,3.1443996,1.9532799,0.0,0.0,0.0,0.0,2.0367503,0.0,3.3658433,3.7957814,0.0,4.3764515,0.0,4.203547,0.0,0.0,3.2319343,0.0,3.3682778,3.252875,4.6741652,1.8023872,0.0,0.0,3.3457744,2.9395194
1.0,10,4.0425167,0.0,0.0,0.0,0.0,3.892953,0.0,3.9632149,0.0,2.8582191,0.0,0.0,0.0,0.0,3.8977282,0.0,0.0,0.0,2.831406,0.0,0.0,2.2643683,0.0,0.0,0.0,1.6003945,2.0321605,2.3898368,3.6931248,2.8886075,3.4617498,4.320625,0.0,0.0,1.9741157,0.0,0.0,2.338849,3.5096734,4.6227436,0.0,2.6840055,2.4109693,0.0,0.0,0.0,3.8047526,0.0,4.4261255,0.0,4.1645913,0.0,0.0,0.0,0.0,0.0,2.6396344,3.9537396,1.6178904,0.0,0.0,3.5741858,0.0,0.0,0.0,0.0,0.55904037,0.0,2.9689026,4.4654627,3.6240096,0.0,0.0,4.279245,0.0,0.0,0.0,5.103216,0.0,0.0,3.6744647,0.0,0.0,2.8149416,0.0,1.0000423,5.198504,0.0,3.958623,4.536809,4.1108203,3.413314,0.0,2.4205892,3.8949597,2.3483605,0.0,3.7596414,3.2191246,0.0,2.5640178,0.0,3.1444013,1.9532808,0.0,0.0,0.0,0.0,2.0367506,0.0,3.3658419,3.79578,0.0,4.37645,0.0,4.2035446,0.0,0.0,3.2319324,0.0,3.3682773,3.2528744,4.6741657,1.8023872,0.0,0.0,3.3457737,2.9395185
1.0,10,4.0425158,0.0,0.0,0.0,0.0,3.892954,0.0,3.9632137,0.0,2.8582199,0.0,0.0,0.0,0.0,3.8977284,0.0,0.0,0.0,2.8314064,0.0,0.0,2.2643683,0.0,0.0,0.0,1.6003952,2.032159,2.3898368,3.6931252,2.888607,3.4617496,4.3206253,0.0,0.0,1.9741167,0.0,0.0,2.338849,3.5096729,4.622742,0.0,2.6840053,2.4109685,0.0,0.0,0.0,3.804752,0.0,4.4261255,0.0,4.164593,0.0,0.0,0.0,0.0,0.0,2.6396344,3.9537387,1.6178905,0.0,0.0,3.5741856,0.0,0.0,0.0,0.0,0.55904037,0.0,2.9689043,4.4654636,3.624009,0.0,0.0,4.2792454,0.0,0.0,0.0,5.103215,0.0,0.0,3.6744652,0.0,0.0,2.8149405,0.0,1.0000435,5.1985044,0.0,3.958622,4.5368085,4.1108193,3.4133143,0.0,2.420588,3.8949594,2.3483603,0.0,3.7596421,3.2191238,0.0,2.5640175,0.0,3.1444006,1.9532809,0.0,0.0,0.0,0.0,2.0367503,0.0,3.365841,3.7957811,0.0,4.3764505,0.0,4.203545,0.0,0.0,3.231932,0.0,3.3682768,3.2528741,4.674164,1.8023866,0.0,0.0,3.3457747,2.9395177
1.0,10,4.0425158,0.0,0.0,0.0,0.0,3.892953,0.0,3.963215,0.0,2.8582191,0.0,0.0,0.0,0.0,3.897728,0.0,0.0,0.0,2.8314037,0.0,0.0,2.2643683,0.0,0.0,0.0,1.6003941,2.032161,2.3898358,3.6931236,2.8886056,3.461749,4.3206253,0.0,0.0,1.9741162,0.0,0.0,2.3388493,3.509673,4.6227417,0.0,2.6840055,2.41097,0.0,0.0,0.0,3.8047528,0.0,4.4261246,0.0,4.1645923,0.0,0.0,0.0,0.0,0.0,2.6396348,3.9537392,1.6178914,0.0,0.0,3.5741842,0.0,0.0,0.0,0.0,0.55903965,0.0,2.968903,4.4654617,3.6240094,0.0,0.0,4.279246,0.0,0.0,0.0,5.1032147,0.0,0.0,3.674466,0.0,0.0,2.8149424,0.0,1.0000424,5.1985035,0.0,3.9586234,4.5368085,4.110821,3.4133139,0.0,2.4205878,3.8949575,2.3483605,0.0,3.7596421,3.2191246,0.0,2.564017,0.0,3.1443992,1.95328,0.0,0.0,0.0,0.0,2.0367515,0.0,3.3658423,3.7957804,0.0,4.3764515,0.0,4.2035456,0.0,0.0,3.231934,0.0,3.3682775,3.2528734,4.6741652,1.8023872,0.0,0.0,3.3457744,2.9395185
1.0,10,4.0425153,0.0,0.0,0.0,0.0,3.8929536,0.0,3.9632146,0.0,2.8582199,0.0,0.0,0.0,0.0,3.8977273,0.0,0.0,0.0,2.831406,0.0,0.0,2.264367,0.0,0.0,0.0,1.6003956,2.0321593,2.389838,3.693124,2.8886073,3.4617484,4.320624,0.0,0.0,1.9741167,0.0,0.0,2.3388495,3.509674,4.622742,0.0,2.6840053,2.4109676,0.0,0.0,0.0,3.8047526,0.0,4.4261246,0.0,4.1645927,0.0,0.0,0.0,0.0,0.0,2.6396344,3.9537387,1.61789,0.0,0.0,3.5741847,0.0,0.0,0.0,0.0,0.55904055,0.0,2.968905,4.465462,3.6240094,0.0,0.0,4.2792463,0.0,0.0,0.0,5.103214,0.0,0.0,3.6744657,0.0,0.0,2.8149412,0.0,1.0000436,5.1985044,0.0,3.9586225,4.5368085,4.1108193,3.4133139,0.0,2.4205885,3.8949587,2.3483603,0.0,3.7596416,3.2191236,0.0,2.5640182,0.0,3.1444004,1.9532818,0.0,0.0,0.0,0.0,2.036751,0.0,3.3658416,3.79578,0.0,4.376451,0.0,4.2035437,0.0,0.0,3.231931,0.0,3.3682756,3.252875,4.6741643,1.8023871,0.0,0.0,3.3457737,2.9395173
