"Heaving frequency in [Hz],  from motor excitations",Wind speed [m/s],0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
1.0,10,1.0,0.17674181,0.9955,0.9945,0.004707113,1.0,0.979,0.979,1.0,0.973,0.029,0.922,1.0,0.0585,0.961,0.0585,0.9735,0.9725,0.0,0.0265,0.117,0.9235,0.9255,0.0,0.927,0.2555,0.073,0.135,0.1095,0.0495,0.802,0.8515,0.9505,0.198,0.802,0.099,1.0,0.198,0.9505,0.0495,0.0495,0.865,0.2025,1.0,0.73,0.9325,0.0675,0.135,0.4725,0.27,0.933,0.135,0.2025,0.0675,0.2745,0.634,0.148,0.8095,0.0,0.9085,0.4575,0.9085,0.366,0.179,0.549,0.183,0.0,0.366,0.168,0.817,0.4395,1.0,0.817,0.0915,0.7255,0.502,0.8755,0.4735,0.249,0.249,0.751,0.3735,0.8755,0.6225,0.0,0.1245,0.8755,0.8755,0.1245,0.3735,0.6225,0.0,0.502,0.498,0.6275,0.249,0.1245,1.0,0.6265,0.5055
1.0,10,1.0,0.16700819,0.995,0.9945,0.003661088,1.0,0.979,0.979,1.0,0.971,0.029,0.922,1.0,0.0585,0.961,0.0585,0.9735,0.9715,0.0,0.0265,0.1205,0.9235,0.926,0.0,0.927,0.2555,0.073,0.139,0.1095,0.0495,0.802,0.8515,0.9505,0.198,0.802,0.099,1.0,0.198,0.9505,0.0495,0.0495,0.865,0.2025,1.0,0.73,0.9325,0.0675,0.135,0.4725,0.27,0.933,0.135,0.2025,0.0675,0.2745,0.634,0.1495,0.8145,0.0,0.9085,0.4575,0.9085,0.366,0.1765,0.549,0.183,0.0,0.366,0.1425,0.817,0.434,1.0,0.817,0.0915,0.7255,0.502,0.8755,0.476,0.249,0.249,0.751,0.3735,0.8755,0.6225,0.0,0.1245,0.8755,0.8755,0.1245,0.3735,0.6225,0.0,0.5025,0.498,0.6265,0.249,0.1245,1.0,0.6265,0.4945
1.0,10,1.0,0.15471311,0.9975,0.9945,0.0031380753,1.0,0.979,0.979,1.0,0.9715,0.029,0.922,1.0,0.0585,0.961,0.0585,0.9735,0.9645,0.0,0.0265,0.118,0.9245,0.9255,0.0,0.927,0.2555,0.073,0.134,0.1095,0.0495,0.802,0.8515,0.9505,0.198,0.802,0.099,1.0,0.198,0.9505,0.0495,0.0495,0.865,0.2025,1.0,0.73,0.9325,0.0675,0.135,0.4725,0.27,0.933,0.135,0.2025,0.0675,0.2745,0.634,0.1405,0.813,0.0,0.9085,0.4575,0.9085,0.366,0.1815,0.549,0.183,0.0,0.366,0.1385,0.817,0.4315,1.0,0.817,0.0915,0.7255,0.502,0.8755,0.488,0.249,0.249,0.751,0.3735,0.8755,0.6225,0.0,0.1245,0.8755,0.8755,0.1245,0.3735,0.6225,0.0,0.502,0.498,0.6265,0.249,0.1245,1.0,0.6265,0.4715
1.0,10,0.999498,0.17418033,0.9975,0.9945,0.0031380753,1.0,0.979,0.979,1.0,0.972,0.029,0.922,1.0,0.0585,0.961,0.0585,0.9735,0.9805,0.0,0.0265,0.1155,0.9245,0.9265,0.0,0.927,0.2555,0.073,0.14,0.1095,0.0495,0.802,0.8515,0.9505,0.198,0.802,0.099,1.0,0.198,0.9505,0.0495,0.0495,0.865,0.2025,1.0,0.73,0.9325,0.0675,0.135,0.4725,0.27,0.9325,0.135,0.2025,0.0675,0.2745,0.634,0.1365,0.814,0.0,0.9085,0.4575,0.9085,0.366,0.178,0.549,0.183,0.0,0.366,0.1345,0.817,0.433,1.0,0.817,0.0915,0.7255,0.502,0.8755,0.4885,0.249,0.249,0.751,0.3735,0.8755,0.6225,0.0,0.1245,0.8755,0.8755,0.1245,0.3735,0.6225,0.0,0.502,0.498,0.6265,0.249,0.1245,1.0,0.6265,0.4805
1.0,10,0.999498,0.1880123,0.9975,0.9945,0.0052301255,1.0,0.979,0.979,1.0,0.9725,0.029,0.922,1.0,0.0585,0.961,0.0585,0.9735,0.9715,0.0,0.0265,0.117,0.926,0.9255,0.0,0.927,0.2555,0.073,0.1325,0.1095,0.0495,0.802,0.8515,0.9505,0.198,0.802,0.099,1.0,0.198,0.9505,0.0495,0.0495,0.865,0.2025,1.0,0.73,0.9325,0.0675,0.135,0.4725,0.27,0.933,0.135,0.2025,0.0675,0.2745,0.634,0.1315,0.8135,0.0,0.9085,0.4575,0.9085,0.366,0.175,0.549,0.183,0.0,0.366,0.1365,0.817,0.4275,1.0,0.817,0.0915,0.7255,0.502,0.8755,0.4755,0.249,0.249,0.751,0.3735,0.8755,0.6225,0.0,0.1245,0.8755,0.8755,0.1245,0.3735,0.6225,0.0,0.502,0.498,0.6265,0.249,0.1245,1.0,0.6265,0.485
1.0,10,1.0,0.18288934,0.9985,0.9945,0.0052301255,1.0,0.979,0.979,1.0,0.971,0.029,0.922,1.0,0.0585,0.961,0.0585,0.9735,0.981,0.0,0.0265,0.1195,0.9255,0.9265,0.0,0.927,0.2555,0.073,0.13,0.1095,0.0495,0.802,0.8515,0.9505,0.198,0.802,0.099,1.0,0.198,0.9505,0.0495,0.0495,0.865,0.2025,1.0,0.73,0.9325,0.0675,0.135,0.4725,0.27,0.933,0.135,0.2025,0.0675,0.2745,0.634,0.1345,0.814,0.0,0.9085,0.4575,0.9085,0.366,0.174,0.549,0.183,0.0,0.3655,0.1295,0.817,0.419,1.0,0.817,0.0905,0.7255,0.502,0.8755,0.4835,0.249,0.249,0.751,0.3735,0.8755,0.6225,0.0,0.1245,0.8755,0.8755,0.1245,0.3735,0.6225,0.0,0.5025,0.498,0.627,0.249,0.1245,1.0,0.6265,0.4705
1.0,10,1.0,0.18288934,0.9965,0.9945,0.0041841003,1.0,0.979,0.979,1.0,0.972,0.029,0.922,1.0,0.0585,0.961,0.0585,0.9735,0.976,0.0,0.0265,0.113,0.9255,0.926,0.0,0.927,0.2555,0.073,0.128,0.1095,0.0495,0.802,0.8515,0.9505,0.198,0.802,0.099,1.0,0.198,0.9505,0.0495,0.0495,0.865,0.2025,1.0,0.73,0.9325,0.0675,0.135,0.4725,0.27,0.933,0.135,0.2025,0.0675,0.2745,0.634,0.13,0.8135,0.0,0.9085,0.4575,0.9085,0.366,0.1725,0.549,0.183,0.0,0.366,0.1315,0.817,0.42,1.0,0.817,0.091,0.7255,0.502,0.8755,0.4885,0.249,0.249,0.751,0.3735,0.8755,0.6225,0.0,0.1245,0.8755,0.8755,0.1245,0.3735,0.6225,0.0,0.5025,0.498,0.627,0.249,0.1245,1.0,0.6265,0.454
1.0,10,1.0,0.1880123,0.9975,0.9945,0.004707113,1.0,0.979,0.979,1.0,0.973,0.029,0.922,1.0,0.0585,0.961,0.0585,0.9735,0.982,0.0,0.0265,0.111,0.9265,0.9255,0.0,0.927,0.2555,0.073,0.121,0.1095,0.0495,0.802,0.8515,0.9505,0.198,0.802,0.099,1.0,0.198,0.9505,0.0495,0.0495,0.865,0.2025,1.0,0.73,0.9325,0.0675,0.135,0.4725,0.27,0.9325,0.135,0.2025,0.0675,0.2745,0.634,0.12,0.814,0.0,0.9085,0.4575,0.9085,0.366,0.172,0.549,0.183,0.0,0.366,0.1285,0.817,0.423,1.0,0.817,0.091,0.7255,0.502,0.8755,0.4895,0.249,0.249,0.751,0.3735,0.8755,0.6225,0.0,0.1245,0.8755,0.8755,0.1245,0.3735,0.6225,0.0,0.502,0.498,0.6265,0.249,0.1245,1.0,0.6265,0.4855
1.0,10,1.0,0.1869877,0.999,0.9945,0.0031380753,1.0,0.979,0.979,1.0,0.973,0.029,0.922,1.0,0.0585,0.961,0.0585,0.9735,0.9845,0.0,0.0265,0.1115,0.9265,0.927,0.0,0.927,0.2555,0.073,0.1245,0.1095,0.0495,0.802,0.8515,0.9505,0.198,0.802,0.099,1.0,0.1975,0.9505,0.0495,0.0495,0.865,0.2025,1.0,0.73,0.9325,0.0675,0.135,0.4725,0.27,0.9325,0.135,0.2025,0.0675,0.2745,0.634,0.1175,0.8145,0.0,0.9085,0.4575,0.9085,0.366,0.171,0.549,0.183,0.0,0.366,0.1275,0.817,0.414,1.0,0.817,0.09,0.7255,0.502,0.8755,0.478,0.249,0.249,0.751,0.3735,0.8755,0.6225,0.0,0.1245,0.8755,0.8755,0.1245,0.3735,0.6225,0.0,0.5025,0.498,0.627,0.249,0.1245,1.0,0.6265,0.478
1.0,10,1.0,0.19006148,0.998,0.9945,0.0031380753,1.0,0.979,0.979,1.0,0.9715,0.029,0.922,1.0,0.0585,0.961,0.0585,0.9735,0.9745,0.0,0.0265,0.1135,0.926,0.926,0.0,0.927,0.2555,0.073,0.13,0.1095,0.0495,0.802,0.8515,0.9505,0.198,0.802,0.099,1.0,0.198,0.9505,0.0495,0.0495,0.865,0.2025,1.0,0.73,0.9325,0.0675,0.135,0.4725,0.27,0.933,0.135,0.2025,0.0675,0.2745,0.634,0.12,0.8145,0.0,0.9085,0.4575,0.9085,0.366,0.1745,0.549,0.183,0.0,0.366,0.131,0.817,0.4125,1.0,0.817,0.0895,0.7255,0.502,0.8755,0.484,0.249,0.249,0.751,0.3735,0.8755,0.6225,0.0,0.1245,0.8755,0.8755,0.1245,0.3735,0.6225,0.0,0.502,0.498,0.6265,0.249,0.1245,1.0,0.6265,0.471
1.0,10,1.0,0.19467214,0.9985,0.9945,0.003661088,1.0,0.979,0.979,1.0,0.9715,0.029,0.922,1.0,0.0585,0.961,0.0585,0.9735,0.983,0.0,0.0265,0.1155,0.9265,0.926,0.0,0.927,0.2555,0.073,0.1205,0.1095,0.0495,0.802,0.8515,0.9505,0.198,0.802,0.099,1.0,0.198,0.9505,0.0495,0.0495,0.865,0.2025,1.0,0.73,0.9325,0.0675,0.135,0.4725,0.27,0.9325,0.135,0.2025,0.0675,0.2745,0.634,0.128,0.8125,0.0,0.9085,0.4575,0.9085,0.366,0.168,0.549,0.183,0.0,0.366,0.1285,0.817,0.422,1.0,0.817,0.0905,0.7255,0.502,0.8755,0.48,0.249,0.249,0.751,0.3735,0.8755,0.6225,0.0,0.1245,0.8755,0.8755,0.1245,0.3735,0.6225,0.0,0.502,0.498,0.627,0.249,0.1245,1.0,0.6265,0.495
1.0,10,1.0,0.16905738,0.9975,0.9945,0.005753138,1.0,0.979,0.979,1.0,0.9715,0.029,0.922,1.0,0.0585,0.961,0.0585,0.9735,0.965,0.0,0.0265,0.125,0.915,0.9255,0.0,0.927,0.2555,0.073,0.1435,0.1095,0.0495,0.802,0.8515,0.9505,0.198,0.802,0.099,1.0,0.198,0.9505,0.0495,0.0495,0.865,0.2025,1.0,0.73,0.9325,0.0675,0.135,0.4725,0.27,0.9325,0.135,0.2025,0.0675,0.2745,0.634,0.1665,0.8125,0.0,0.9085,0.4575,0.9085,0.366,0.1755,0.549,0.183,0.0,0.366,0.1635,0.817,0.4465,1.0,0.817,0.0915,0.7255,0.502,0.8755,0.4755,0.249,0.249,0.751,0.3735,0.8755,0.6225,0.0,0.1245,0.8755,0.8755,0.1245,0.3735,0.6225,0.0,0.502,0.498,0.627,0.249,0.1245,1.0,0.6265,0.4855
1.0,10,1.0,0.16700819,0.996,0.9945,0.004707113,1.0,0.979,0.979,1.0,0.9715,0.029,0.922,1.0,0.0585,0.961,0.0585,0.9735,0.96,0.0,0.0265,0.123,0.9145,0.927,0.0,0.927,0.2555,0.073,0.141,0.1095,0.0495,0.802,0.8515,0.9505,0.198,0.802,0.099,1.0,0.198,0.9505,0.0495,0.0495,0.865,0.2025,1.0,0.73,0.9325,0.0675,0.135,0.4725,0.27,0.9325,0.135,0.2025,0.0675,0.2745,0.634,0.162,0.8125,0.0,0.9085,0.4575,0.9085,0.366,0.1815,0.549,0.183,0.0,0.366,0.162,0.817,0.444,1.0,0.817,0.0915,0.7255,0.502,0.8755,0.478,0.249,0.249,0.751,0.3735,0.8755,0.6225,0.0,0.1245,0.8755,0.8755,0.1245,0.3735,0.6225,0.0,0.502,0.498,0.6265,0.249,0.1245,1.0,0.6265,0.494
1.0,10,1.0,0.1664959,0.9965,0.9945,0.00052301254,1.0,0.979,0.979,1.0,0.9715,0.029,0.9225,1.0,0.0585,0.961,0.0585,0.9735,0.96,0.0,0.0265,0.1195,0.9155,0.924,0.0,0.927,0.2555,0.073,0.1315,0.1095,0.0495,0.802,0.8515,0.9505,0.198,0.802,0.099,1.0,0.198,0.9505,0.0495,0.0495,0.865,0.2025,1.0,0.73,0.9325,0.0675,0.135,0.4725,0.27,0.933,0.135,0.2025,0.0675,0.2745,0.634,0.1605,0.8135,0.0,0.9085,0.4575,0.9085,0.366,0.1825,0.549,0.183,0.0,0.366,0.148,0.817,0.4345,1.0,0.817,0.0915,0.7255,0.502,0.8755,0.4815,0.249,0.249,0.751,0.3735,0.8755,0.6225,0.0,0.1245,0.8755,0.8755,0.1245,0.3735,0.6225,0.0,0.502,0.498,0.627,0.249,0.1245,1.0,0.6265,0.4745
1.0,10,1.0,0.17366803,0.9975,0.9945,0.0015690377,1.0,0.979,0.979,1.0,0.9715,0.029,0.922,1.0,0.0585,0.961,0.0585,0.9735,0.963,0.0,0.0265,0.1175,0.9225,0.926,0.0,0.927,0.2555,0.073,0.1385,0.1095,0.0495,0.802,0.8515,0.9505,0.198,0.802,0.099,1.0,0.198,0.9505,0.0495,0.0495,0.865,0.2025,1.0,0.73,0.9325,0.0675,0.135,0.4725,0.27,0.9325,0.135,0.2025,0.0675,0.2745,0.634,0.156,0.8155,0.0,0.9085,0.4575,0.9085,0.366,0.1795,0.549,0.183,0.0,0.366,0.141,0.817,0.4305,1.0,0.817,0.0915,0.7255,0.502,0.8755,0.4855,0.249,0.249,0.751,0.3735,0.8755,0.6225,0.0,0.1245,0.8755,0.8755,0.1245,0.3735,0.6225,0.0,0.502,0.498,0.6265,0.249,0.1245,1.0,0.6265,0.4705
1.0,10,1.0,0.18186475,0.9965,0.9945,0.004707113,1.0,0.979,0.979,1.0,0.972,0.029,0.922,1.0,0.0585,0.961,0.0585,0.9735,0.974,0.0,0.0265,0.1155,0.9225,0.926,0.0,0.927,0.2555,0.073,0.1295,0.1095,0.0495,0.802,0.8515,0.9505,0.198,0.802,0.099,1.0,0.1975,0.9505,0.0495,0.0495,0.865,0.2025,1.0,0.73,0.9325,0.0675,0.135,0.4725,0.27,0.9325,0.135,0.2025,0.0675,0.2745,0.634,0.1415,0.8145,0.0,0.9085,0.4575,0.9085,0.366,0.174,0.549,0.183,0.0,0.365,0.1385,0.817,0.4365,1.0,0.817,0.0915,0.7255,0.502,0.8755,0.4815,0.249,0.249,0.751,0.3735,0.8755,0.6225,0.0,0.1245,0.8755,0.875,0.1245,0.3735,0.6225,0.0,0.5025,0.498,0.627,0.249,0.1245,1.0,0.6265,0.4665
1.0,10,1.0,0.17469262,0.999,0.9945,0.005753138,1.0,0.979,0.979,1.0,0.972,0.029,0.922,1.0,0.0585,0.961,0.0585,0.9735,0.9725,0.0,0.0265,0.116,0.925,0.9255,0.0,0.927,0.2555,0.073,0.1255,0.1095,0.0495,0.802,0.8515,0.9505,0.198,0.802,0.099,1.0,0.198,0.9505,0.0495,0.0495,0.865,0.2025,1.0,0.73,0.9325,0.0675,0.135,0.4725,0.27,0.9335,0.135,0.2025,0.0675,0.2745,0.634,0.109,0.8135,0.0,0.9085,0.4575,0.9085,0.366,0.1815,0.549,0.183,0.0,0.366,0.128,0.817,0.4335,1.0,0.817,0.0915,0.7255,0.502,0.8755,0.479,0.249,0.249,0.751,0.3735,0.8755,0.6225,0.0,0.1245,0.8755,0.8755,0.1245,0.3735,0.6225,0.0,0.502,0.498,0.628,0.249,0.1245,1.0,0.6265,0.5385
1.0,10,1.0,0.17571722,0.995,0.9945,0.004707113,1.0,0.979,0.979,1.0,0.9715,0.029,0.922,1.0,0.0585,0.961,0.0585,0.9735,0.9715,0.0,0.0265,0.1175,0.921,0.9245,0.0,0.927,0.2555,0.073,0.1395,0.111,0.0495,0.802,0.8515,0.9505,0.198,0.802,0.099,1.0,0.198,0.9505,0.0495,0.0495,0.865,0.2025,1.0,0.73,0.9325,0.0675,0.135,0.4725,0.27,0.933,0.135,0.2025,0.0675,0.2745,0.634,0.1265,0.817,0.0,0.9085,0.4575,0.9085,0.366,0.148,0.549,0.183,0.0,0.366,0.1455,0.817,0.4425,1.0,0.817,0.0895,0.7255,0.502,0.8755,0.486,0.249,0.249,0.751,0.3735,0.8755,0.6225,0.0,0.1245,0.8755,0.8755,0.1245,0.3735,0.6225,0.0,0.5025,0.498,0.627,0.249,0.1245,1.0,0.6265,0.4685
1.0,10,1.0,0.18545082,0.998,0.9945,0.004707113,1.0,0.979,0.979,1.0,0.973,0.029,0.922,1.0,0.0585,0.961,0.0585,0.9735,0.9845,0.0,0.0265,0.1145,0.925,0.9265,0.0,0.927,0.2555,0.073,0.131,0.1095,0.0495,0.802,0.8515,0.9505,0.198,0.802,0.099,1.0,0.198,0.9505,0.0495,0.0495,0.865,0.2025,1.0,0.73,0.9325,0.0675,0.135,0.4725,0.27,0.9335,0.135,0.2025,0.0675,0.2745,0.634,0.1385,0.814,0.0,0.9085,0.4575,0.9085,0.366,0.1685,0.549,0.183,0.0,0.3655,0.1335,0.817,0.4145,1.0,0.817,0.0915,0.7255,0.502,0.8755,0.4785,0.249,0.249,0.751,0.3735,0.8755,0.6225,0.0,0.1245,0.8755,0.8755,0.1245,0.3735,0.6225,0.0,0.505,0.4975,0.627,0.249,0.1245,1.0,0.6265,0.415
1.0,10,1.0,0.17571722,0.997,0.9945,0.0062761507,1.0,0.979,0.979,1.0,0.973,0.029,0.922,1.0,0.0585,0.961,0.0585,0.9735,0.976,0.0,0.0265,0.1075,0.927,0.927,0.0,0.927,0.2555,0.073,0.1115,0.1095,0.0495,0.802,0.8515,0.9505,0.198,0.802,0.099,1.0,0.198,0.9505,0.0495,0.0495,0.865,0.2025,1.0,0.73,0.9325,0.0675,0.135,0.4725,0.27,0.9345,0.135,0.2025,0.0675,0.2745,0.634,0.1105,0.816,0.0,0.9085,0.4575,0.9085,0.366,0.166,0.549,0.183,0.0,0.366,0.1345,0.817,0.4185,1.0,0.817,0.0885,0.7255,0.502,0.8755,0.4865,0.249,0.249,0.751,0.3735,0.8755,0.6225,0.0,0.1245,0.8755,0.8755,0.1245,0.3735,0.6225,0.0,0.505,0.498,0.6265,0.249,0.1245,1.0,0.6265,0.463
