Preprocessing Configuration:{'order': ['feature_extractor', 'scaler'], 'feature_extractor': <class 'configs.feature_extractors.RocketFeatureExtractorNoOverlapping'>, 'feature_extractor_hyperparams': {}, 'scaler': <class 'sklearn.preprocessing._data.StandardScaler'>, 'scaler_hyperparams': {}, 'param_grid': {'model__n_estimators': [100, 500], 'model__learning_rate': [0.01, 0.1, 0.2], 'model__subsample': [0.4, 0.7, 1.0], 'model__max_depth': [3, 8], 'model__max_features': [0.5, 1.0], 'model__criterion': ['friedman_mse', 'squared_error']}}
 Model Configuration:{'model': <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, 'model_hyperparams': {}, 'param_grid': {'model__n_estimators': [100, 500], 'model__learning_rate': [0.01, 0.1, 0.2], 'model__subsample': [0.4, 0.7, 1.0], 'model__max_depth': [3, 8], 'model__max_features': [0.5, 1.0], 'model__criterion': ['friedman_mse', 'squared_error']}}
 Best Score: 0.7192377495462795
 Best Estimator: Pipeline(steps=[('feature_extractor',
                 <configs.feature_extractors.RocketFeatureExtractorNoOverlapping object at 0x000001DB263DF990>),
                ('scaler', StandardScaler()),
                ('model',
                 GradientBoostingClassifier(max_features=1.0,
                                            n_estimators=500))])
 Best Parameter Setting:{'model__criterion': 'friedman_mse', 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__max_features': 1.0, 'model__n_estimators': 500, 'model__subsample': 1.0}
	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143
mean_fit_time	0.5085936069488526	0.6069355964660644	0.7231228828430176	3.1119871139526367	4.178946828842163	4.802838516235352	0.8978898048400878	1.2360806941986084	1.4898533821105957	4.6759789943695065	6.257488441467285	7.678784799575806	1.3092776775360107	1.6758729934692382	1.9664276123046875	5.927450895309448	8.50427942276001	9.908209800720215	1.7658355236053467	3.0522440910339355	2.715969753265381	9.64832239151001	13.011968421936036	9.004207658767701	0.4813214302062988	0.6041515827178955	0.7153685569763184	2.2798250198364256	2.3805002689361574	2.4847721576690676	0.6968033790588379	0.9673710346221924	1.19026837348938	3.302512264251709	3.36403751373291	3.4682145595550535	1.137488889694214	1.6088518619537353	1.5909092903137207	2.8558095932006835	2.7255222320556642	2.271054267883301	1.6683603286743165	2.4561808109283447	1.4629177093505858	4.201349496841431	3.9177287578582765	2.170313310623169	0.47974343299865724	0.6158858299255371	0.7086366653442383	1.6497718811035156	1.6550997257232667	1.6277452468872071	0.6939469814300537	0.9550934314727784	1.17002272605896	2.2482655525207518	2.1734697341918947	2.1614120960235597	0.9616376876831054	1.086052942276001	0.85623779296875	1.8728962898254395	1.809863567352295	1.5490386962890625	1.4513324737548827	1.6629672050476074	0.8351293087005616	2.5320958137512206	2.3947755813598635	1.522719955444336	0.4833976268768311	0.6074257373809815	0.743942403793335	2.405629301071167	3.0549684047698973	3.561046075820923	0.6967478275299073	0.9673629760742187	1.1880461692810058	3.500859022140503	4.79663610458374	5.867489385604858	1.2033461570739745	1.7087223529815674	1.9550710678100587	5.934509134292602	8.478686094284058	9.761296319961549	1.7497312068939208	2.6425928115844726	1.844999122619629	8.849530363082886	13.339562129974365	9.168702220916748	0.49132475852966306	0.6090615749359131	0.7177219390869141	2.328645849227905	2.373317575454712	2.471005439758301	0.700213098526001	0.9903154850006104	1.2109189987182618	3.359094524383545	3.377681112289429	3.4933565139770506	1.1660780906677246	1.608098840713501	1.5956936836242677	3.015898084640503	2.86010365486145	2.3007935523986816	1.6928380966186523	2.4826093673706056	1.5055558204650878	4.484829902648926	4.11804347038269	2.2893741607666014	0.5103669166564941	0.6346644401550293	0.7562097072601318	1.7569191455841064	1.7345762729644776	1.6924437522888183	0.7244226932525635	0.988160514831543	1.250077199935913	2.3317636966705324	2.2367735862731934	2.3141427516937254	0.9896946907043457	1.1082295417785644	0.8837415695190429	1.9519821166992188	1.8866281986236573	1.5898889541625976	1.5133985519409179	1.7379807949066162	0.8610775947570801	2.667076253890991	2.4738440990447996	1.5654983997344971
std_fit_time	0.014188790409787409	0.017233263338364026	0.013563642999199764	0.3210617996730917	0.04858793953503852	0.1471915368540447	0.040414700915292284	0.05122444033639075	0.03648742507559472	0.09864315767768944	0.11578501202408574	0.2771500199526123	0.17455952263309962	0.03618686363031326	0.08413962322719083	0.09096859982972519	0.13268919868586254	0.6170374473067853	0.019448857994948998	0.5607457363153168	0.5488011854821327	0.9879492850214545	0.21660859118165882	1.559153404180272	0.004993435457245304	0.007457154435681981	0.007421800604109363	0.041226246472985915	0.13798315590129437	0.05589355547026332	0.014229426893922524	0.016448559904278365	0.027188895798169757	0.10620720869142318	0.08680387924702529	0.05155897050790847	0.010497023611772934	0.03732982221922571	0.1446145141423683	0.06887980302612776	0.02767823523836994	0.1489344416301002	0.023864693140547538	0.046462980639209006	0.1930200336586886	0.12752146535852155	0.0838878847802836	0.20701467876129837	0.016678967404669533	0.013736133692654275	0.014859485854214309	0.035627773853590075	0.023608085464329815	0.015505884469419426	0.01221335693705058	0.014098402014880168	0.024026826234809468	0.02240811628763431	0.024710753068354407	0.03762696982724543	0.025332609844261816	0.025094583337802994	0.06922203372149546	0.04065940917350778	0.02164136808240933	0.027300206088386587	0.021075175098804317	0.03653528909183183	0.10397971797186048	0.07288541786245722	0.027350526467611973	0.11016764188689711	0.00692206279668239	0.011564061224817129	0.06478214337123846	0.020949079883836687	0.04600738550464334	0.054046453492648944	0.013252442433416852	0.018381719492827568	0.02668057235635707	0.051876260308847906	0.08663299791593161	0.09021256721116729	0.01743192361054567	0.05270792830223197	0.07074931675410688	0.10675255990281556	0.18560948093357046	0.5542956444919436	0.026229713564038613	0.16013907745952805	0.3203438900623681	0.10245766503835849	0.30729034477696826	1.5692253630765702	0.007455160899240687	0.008053337480279473	0.012372413747942502	0.04613273600913011	0.04959237312978908	0.041139191334245866	0.0032544517396082915	0.028542214555891517	0.023607346984607532	0.09530427195144757	0.08399847111643861	0.06689380833029626	0.0342099363171472	0.03267912204932384	0.13192535132688427	0.07428120015520277	0.04057536735163901	0.13900862873648612	0.023909922317269242	0.05360518052739037	0.2523190640306494	0.16818856370201413	0.06427359698740588	0.25049815788329527	0.007950373924832731	0.006820857278515332	0.027989705972758443	0.06666642278922189	0.020358586790117445	0.03207883314305782	0.01543535522018249	0.02445302001432482	0.07420824848663146	0.07342136900097976	0.053009735096486814	0.03926424709044303	0.00952673793310056	0.029769721752968135	0.08502382034357685	0.08215886071708667	0.027695398406253117	0.07544377101474063	0.045148653885794886	0.03452613147745498	0.11296888328295625	0.09233223210265222	0.030799139911430604	0.11150748195700795
mean_score_time	0.0004062652587890625	0.0	0.00116119384765625	0.0006055355072021485	0.003591108322143555	0.0013531684875488282	0.005146503448486328	0.003153371810913086	0.0020268440246582033	0.006248378753662109	0.008050918579101562	0.008199930191040039	0.0004612445831298828	0.005902576446533203	0.0031518459320068358	0.01626582145690918	0.008289432525634766	0.01510915756225586	0.007344961166381836	0.0026773929595947264	0.004384374618530274	0.010070562362670898	0.008791446685791016	0.006250524520874023	0.0036086082458496095	0.0008496284484863281	0.0	0.006828594207763672	0.003186321258544922	0.003683662414550781	0.0028338909149169924	0.0	0.0035243511199951174	0.006277942657470703	0.00022106170654296876	0.0008189678192138672	0.00022153854370117189	0.0026280879974365234	0.0007065296173095703	0.0029012680053710936	0.006597995758056641	0.0	0.0032752513885498046	0.007129859924316406	0.00312657356262207	0.01099238395690918	0.004792308807373047	0.004027938842773438	0.003933095932006836	0.006901741027832031	0.000800180435180664	0.0031979560852050783	0.0	0.0037564754486083983	0.006523990631103515	0.0016016960144042969	0.0063174724578857425	0.0	0.00679931640625	0.003476858139038086	0.0023008346557617187	0.0029784679412841798	0.0	0.004485177993774414	0.003007364273071289	0.0	0.006231164932250977	0.004236841201782226	0.003971529006958008	0.0031447410583496094	0.00046930313110351565	0.0038465023040771484	0.0035263538360595704	0.005291414260864258	0.0035732269287109377	0.006873035430908203	0.0055674552917480465	0.002362775802612305	0.006284904479980469	0.0	0.0002007007598876953	0.007033109664916992	0.00511775016784668	0.0037014007568359373	0.0	0.007877111434936523	0.0023193836212158205	0.012773561477661132	0.013717746734619141	0.00964493751525879	0.0021543025970458983	0.001318359375	0.0	0.012620067596435547	0.01177210807800293	0.0031317710876464845	0.0	0.0	0.0014215946197509766	0.006872224807739258	0.0	0.0	0.0009026050567626954	0.0031180381774902344	0.0005269050598144531	0.005754423141479492	0.0008284568786621094	0.003643321990966797	0.003948736190795899	0.0	0.0031442642211914062	0.005825519561767578	0.004685688018798828	0.005935573577880859	0.00317840576171875	0.003207874298095703	0.0	0.007337760925292969	0.003146791458129883	0.0005617141723632812	0.0033083438873291017	0.00044260025024414065	0.0023760318756103514	0.001123809814453125	0.004566860198974609	0.0036389827728271484	0.0013431549072265626	0.00019998550415039061	0.004145431518554688	0.005139303207397461	0.002214813232421875	0.0038336753845214845	0.0031298160552978515	0.0038785457611083983	0.001636648178100586	0.0	0.006837797164916992	0.0	0.008565235137939452	0.0011348247528076172	0.0	0.0	0.001798725128173828	0.007962989807128906
std_score_time	0.000812530517578125	0.0	0.0011007398092867152	0.001211071014404297	0.004458097808811219	0.001724342304044379	0.0065390991513478115	0.006306743621826172	0.004053688049316407	0.007652673850077888	0.005996269709397055	0.006824911146015336	0.0009224891662597656	0.006514120557959137	0.0063036918640136715	0.0022655874151220265	0.007272481249421644	0.009029565588778803	0.006276042401722305	0.003387328424356235	0.0058041471015311185	0.0052253045536538815	0.00726348519356472	0.007655297850819098	0.006034318524664526	0.0012093791540996937	0.0	0.00634536761080572	0.005099505003687115	0.006025021969877279	0.003973386986624269	0.0	0.006096671690008365	0.005661609421113507	0.0004421234130859375	0.0016379356384277344	0.0004430770874023438	0.0029357986505239623	0.0014130592346191407	0.003851591706871721	0.007427433368718019	0.0	0.0038003587470028474	0.007013481264159268	0.00625314712524414	0.005808767576886183	0.0062821192527039785	0.0049333641949827105	0.005683069467827414	0.005844952545880325	0.0009800173742963204	0.006220632240319142	0.0	0.006059436360687138	0.007214790786674223	0.0032033920288085938	0.0077377871144156465	0.0	0.007067067477532752	0.0061123848043263245	0.004601669311523438	0.0047102264064339695	0.0	0.006529743156093986	0.00466322102607692	0.0	0.007631650203205543	0.005191290628321044	0.005515598099362516	0.006289482116699219	0.0009386062622070314	0.006092296428536279	0.0061019226945988264	0.006657714376251324	0.0060852498221719295	0.007272925027607456	0.006913894301399687	0.003541936398051893	0.007697475364728532	0.0	0.0004014015197753906	0.006437694251485292	0.005761120940516051	0.0061826731811858125	0.0	0.006553505833072531	0.004638767242431641	0.0026158620795980053	0.007180685503672937	0.007885282521431995	0.003766900001697758	0.00162749205593715	0.0	0.006311358704550475	0.006095292830261016	0.00626354217529297	0.0	0.0	0.0028431892395019533	0.007235994195067516	0.0	0.0	0.0018052101135253905	0.006236076354980469	0.0010538101196289062	0.007091795143105045	0.0016569137573242186	0.006069534526195168	0.006095371696088811	0.0	0.0062885284423828125	0.004207365776430773	0.0006498969371697587	0.004866195735175839	0.00041378131756230946	0.00039704719797385983	0.0	0.003144677523042733	0.00163588127530819	0.0011234283447265625	0.0066166877746582035	0.00041666042343595596	0.003834974655035946	0.001387679513739665	0.005900184140677958	0.006406819504449288	0.0011240517597970892	0.0003999710083007812	0.0058574101453155065	0.00581337847356929	0.0018490668981624421	0.006064992109117715	0.006259632110595703	0.003917354804797319	0.002048993568817848	0.0	0.006120258167601445	0.0	0.007306248301142087	0.0012075749449988308	0.0	0.0	0.0014686614940661248	0.0064975839390942645
param_model__criterion	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error
param_model__learning_rate	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2
param_model__max_depth	3	3	3	3	3	3	3	3	3	3	3	3	8	8	8	8	8	8	8	8	8	8	8	8	3	3	3	3	3	3	3	3	3	3	3	3	8	8	8	8	8	8	8	8	8	8	8	8	3	3	3	3	3	3	3	3	3	3	3	3	8	8	8	8	8	8	8	8	8	8	8	8	3	3	3	3	3	3	3	3	3	3	3	3	8	8	8	8	8	8	8	8	8	8	8	8	3	3	3	3	3	3	3	3	3	3	3	3	8	8	8	8	8	8	8	8	8	8	8	8	3	3	3	3	3	3	3	3	3	3	3	3	8	8	8	8	8	8	8	8	8	8	8	8
param_model__max_features	0.5	0.5	0.5	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.5	0.5	0.5	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.5	0.5	0.5	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.5	0.5	0.5	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.5	0.5	0.5	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.5	0.5	0.5	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.5	0.5	0.5	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.5	0.5	0.5	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.5	0.5	0.5	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.5	0.5	0.5	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.5	0.5	0.5	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.5	0.5	0.5	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0
param_model__n_estimators	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500
param_model__subsample	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0
