Preprocessing Configuration:{'order': ['feature_extractor', 'scaler'], 'feature_extractor': <class 'configs.feature_extractors.RocketFeatureExtractorOverlapping'>, 'feature_extractor_hyperparams': {}, 'scaler': <class 'sklearn.preprocessing._data.StandardScaler'>, 'scaler_hyperparams': {}, 'param_grid': {'model__n_estimators': [100, 500], 'model__learning_rate': [0.01, 0.1, 0.2], 'model__subsample': [0.4, 0.7, 1.0], 'model__max_depth': [3, 8], 'model__max_features': [0.5, 1.0], 'model__criterion': ['friedman_mse', 'squared_error']}}
 Model Configuration:{'model': <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, 'model_hyperparams': {}, 'param_grid': {'model__n_estimators': [100, 500], 'model__learning_rate': [0.01, 0.1, 0.2], 'model__subsample': [0.4, 0.7, 1.0], 'model__max_depth': [3, 8], 'model__max_features': [0.5, 1.0], 'model__criterion': ['friedman_mse', 'squared_error']}}
 Best Score: 0.7275831087151842
 Best Estimator: Pipeline(steps=[('feature_extractor',
                 <configs.feature_extractors.RocketFeatureExtractorOverlapping object at 0x0000017F5C625050>),
                ('scaler', StandardScaler()),
                ('model',
                 GradientBoostingClassifier(learning_rate=0.2, max_depth=8,
                                            max_features=0.5,
                                            n_estimators=500))])
 Best Parameter Setting:{'model__criterion': 'friedman_mse', 'model__learning_rate': 0.2, 'model__max_depth': 8, 'model__max_features': 0.5, 'model__n_estimators': 500, 'model__subsample': 1.0}
	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143
mean_fit_time	1.05369234085083	1.9879226207733154	2.3879450798034667	6.8761073589324955	8.123831415176392	10.203955221176148	1.879738712310791	3.2123584747314453	4.420951318740845	11.693578672409057	14.407252264022826	18.487867975234984	2.9691547393798827	5.4372546672821045	6.5557958602905275	14.424927711486816	20.496860122680665	24.85425271987915	4.664722299575805	6.903095865249634	7.1570048332214355	27.36882529258728	46.563571977615354	40.37334575653076	1.3013494968414308	1.8083685398101808	2.326775312423706	6.077737665176391	6.795671463012695	7.583078908920288	2.23005633354187	3.194247102737427	4.18157467842102	11.286142063140868	11.790132999420166	13.027672576904298	3.3161579608917235	4.98759355545044	5.008473682403564	7.809939289093018	7.372933197021484	6.290861463546753	5.596162128448486	8.852750253677367	6.878796005249024	14.013889169692993	12.818538904190063	8.234147644042968	1.3313979625701904	1.7693360805511475	2.1513710498809813	3.833529233932495	3.9160974502563475	4.174216890335083	2.1739622592926025	3.2695693492889406	4.17329249382019	6.656637859344483	6.434580373764038	6.751670598983765	2.8437005996704103	3.1658740520477293	2.5950503826141356	4.33336033821106	4.091551017761231	3.6068130016326903	5.518363285064697	5.798968935012818	3.5812211990356446	7.478553009033203	7.047939300537109	4.759022855758667	1.3448476791381836	1.8432762145996093	2.248852777481079	6.290353155136108	9.08330316543579	11.405604696273803	2.319062423706055	3.24048228263855	3.993974781036377	10.852356576919556	15.5698326587677	19.966283321380615	3.512689971923828	4.943874502182007	5.961902093887329	16.924772691726684	25.796481704711915	30.871515369415285	5.821523189544678	8.853765630722046	9.08551549911499	29.03975510597229	43.395463705062866	41.80183138847351	1.3201234340667725	1.8016077995300293	2.1944093227386476	5.934531211853027	6.703293895721435	7.268270444869995	2.1852802276611327	3.053852939605713	3.83796911239624	10.510649681091309	11.404857683181763	12.73264684677124	3.2693782806396485	4.74113621711731	5.122331190109253	8.219288301467895	7.412366676330566	6.249657440185547	5.697339725494385	8.294801712036133	6.734723615646362	13.123653554916382	12.025258684158326	8.188365745544434	1.3343946933746338	1.8081459522247314	2.3740609645843507	4.018324851989746	4.009933996200561	4.261864709854126	2.2045060634613036	3.2279382228851317	3.999332618713379	6.4209342956542965	6.552762460708618	7.083617448806763	3.051390600204468	3.2990231990814207	2.7916242122650146	4.888414478302002	4.251919841766357	3.75372633934021	5.319210529327393	6.045045518875122	3.6162891387939453	7.712587976455689	6.942696237564087	4.8016807556152346
std_fit_time	0.031658291611437434	0.11012953083281614	0.0423038468817907	0.21457236802107316	1.0221692911085163	0.9115177392292176	0.026672332173182437	0.2882746634972792	0.08094052894293852	1.3656531640543605	1.8558754183685122	1.1892523132962474	0.05212721626478366	0.27174617314854355	0.4060122577680973	0.7391332828298571	0.5237411112760618	0.609560350087829	0.07198506786683345	0.1105830529890322	0.6503329511283482	4.530841601578419	1.9180465286021466	5.398173828293408	0.05517022389084016	0.07553467499585317	0.032451209376611424	0.18843917117787248	0.3726498155539173	0.4433126184121167	0.049735219378443364	0.07487440604796355	0.15161225890891453	0.5488066911617712	0.6260793899254145	0.8022992735796146	0.12009248927161846	0.242092577349197	0.12016032518727252	0.20789473114482268	0.3051495998175153	0.29111681254585153	0.08386122949776001	0.12215823992297364	0.5819622548424791	0.5366556396111004	0.4142680312915213	0.8071688735414607	0.08173593501834336	0.05568893057085032	0.05363643277836143	0.12990959055156226	0.25997277235791777	0.2063253235826823	0.07994377510008778	0.06387556645776891	0.07979543880513111	0.33445633233232247	0.20866951724312477	0.34230562624723065	0.048650612397842526	0.10433128916334632	0.1422984970637383	0.14832537327398945	0.07432020457270602	0.20607929092795296	0.13606038178982185	0.2261832865020895	0.25995333990426994	0.34437242661457024	0.1849801559123112	0.385213546830256	0.04120873272666423	0.04299392530989534	0.052659394339566	0.071652026710399	0.12713318643361546	0.2098045810707588	0.08392696651734215	0.07915526455835246	0.10384999518810632	0.19051751481848045	0.18164245777171756	0.28391931203754	0.07596580831570868	0.12170510187175204	0.14597162098885408	0.35208863046874084	0.7445998013151911	1.2271731819485932	0.09712769675674747	0.09701132266045856	0.8347914836400508	0.5077916883582317	0.8802218100199074	3.3146877383048574	0.06621091151849892	0.05719954146307084	0.028138719772146575	0.1648991334072168	0.4670177572016671	0.41774999716595745	0.10172645679124757	0.04638924575110613	0.07647303485707713	0.44516263365503045	0.8670498812135191	0.8632830180370525	0.12443257516102309	0.11656173920636136	0.21019790592775517	0.35842004145156703	0.19535749238724173	0.22212941806382663	0.12014440585446122	0.36435581629489416	0.6800341031854723	0.37850349186182275	0.4266474058372605	0.943474298910764	0.06886233070304919	0.07521856218187278	0.06815365481862913	0.12832563689196066	0.18165007914651743	0.3447728009930847	0.03770906764732746	0.03564672937696342	0.07524412979449127	0.33122369504252147	0.43053710341487517	0.2796272235710036	0.039429626879556964	0.10618399580281132	0.10528333461759028	0.2186260060120622	0.14504972453631207	0.3106699678102965	0.2041521949710609	0.15379438045166796	0.18104655203611675	0.3947675081845663	0.2578027739739117	0.36554067094121623
mean_score_time	0.0014498233795166016	0.005936241149902344	0.0051097869873046875	0.006079864501953125	0.005288219451904297	0.009747076034545898	0.003573894500732422	0.002236175537109375	0.0024937152862548827	0.006766557693481445	0.0066283226013183595	0.00593271255493164	0.007090616226196289	0.004580354690551758	0.00983433723449707	0.010957050323486327	0.01273331642150879	0.013215112686157226	0.008242654800415038	0.0024441242218017577	0.0031261444091796875	0.02339315414428711	0.0208160400390625	0.010611534118652344	0.0006242275238037109	0.00840601921081543	0.003125619888305664	0.008196592330932617	0.0065040111541748045	0.003125572204589844	0.0	0.0014829635620117188	0.002002716064453125	0.008250188827514649	0.0009934425354003907	0.003958797454833985	0.00252680778503418	0.004104518890380859	0.0021250247955322266	0.00940690040588379	0.0	0.005855274200439453	0.003153705596923828	0.008401250839233399	0.0	0.005081272125244141	0.007480907440185547	0.00315241813659668	0.0026233673095703127	0.0	0.004030466079711914	0.00319056510925293	0.0027954578399658203	0.00799698829650879	0.003124046325683594	0.0	0.0033008098602294923	0.005581283569335937	0.0031529903411865235	0.0031480789184570312	0.003168535232543945	0.008197546005249023	0.0	0.0024600505828857424	0.0036516666412353517	0.006277275085449219	0.005358362197875976	0.003138113021850586	0.0030223846435546873	0.003164052963256836	0.003126096725463867	0.006862926483154297	0.0014304161071777345	0.0	0.0	0.009050846099853516	0.0043239593505859375	0.005677223205566406	0.005749988555908203	0.0	0.0	0.008910655975341797	0.003182077407836914	0.007873725891113282	0.00567626953125	0.007097053527832031	0.0011191368103027344	0.021129560470581055	0.01857728958129883	0.018427562713623048	0.007273197174072266	0.008677244186401367	0.0	0.015965366363525392	0.013716363906860351	0.012568998336791991	0.0	0.0031200408935546874	0.0008236885070800782	0.011591148376464844	0.0013577461242675782	0.0010250568389892577	0.00478057861328125	0.006346464157104492	0.0018537521362304687	0.008308029174804688	0.003873109817504883	0.009369564056396485	0.0017313957214355469	0.0006251335144042969	0.0036597251892089844	0.00536041259765625	0.005133199691772461	0.007890748977661132	0.007404708862304687	0.0031478404998779297	0.007853841781616211	0.009128141403198241	0.007069015502929687	0.004321908950805664	0.003946733474731445	0.00394906997680664	0.0041866302490234375	0.009932136535644532	0.0033634185791015627	0.0021476268768310545	0.0	0.0	0.003483438491821289	0.009219169616699219	0.009463357925415038	0.0050771236419677734	0.009283924102783203	0.004510402679443359	0.00554814338684082	0.0038104534149169924	0.007901954650878906	0.004928064346313476	0.004007291793823242	0.0031508445739746095	0.005295372009277344	0.010647869110107422	0.010123109817504883	0.0024038314819335937
std_score_time	0.002899646759033203	0.005954727327323369	0.00479504329008168	0.004033073130749226	0.0067674805822070345	0.0061862319989554335	0.005230030866785794	0.0018686805784590042	0.0014047087531634179	0.005871433653618439	0.007243816741481595	0.00642556255805129	0.004331664693524358	0.0025207884841574094	0.004535044675627976	0.005521942840649004	0.002989462210843302	0.007073182947316824	0.00620553766723051	0.001996319003413158	0.006252288818359375	0.006931791797887062	0.00875706764751882	0.008834687171292141	0.0012484550476074218	0.007108224318066671	0.006251239776611328	0.0068572536082795585	0.006026502632002285	0.006251144409179688	0.0	0.0015462001424343976	0.001264471827565738	0.00706067931797843	0.0015909587098714738	0.006108499432352264	0.00505361557006836	0.0063926010740491335	0.004250049591064453	0.007680820739933401	0.0	0.007198468466002328	0.003943626477393316	0.005222211065374097	0.0	0.005918607136147692	0.00701877768160334	0.006304836273193361	0.004108843187583674	0.0	0.00602093586489233	0.00638113021850586	0.004606820785524698	0.007022122138881997	0.006248092651367188	0.0	0.0066016197204589845	0.006930722235824879	0.006305980682373046	0.0062961578369140625	0.00633707046508789	0.006374408565782702	0.0	0.004920101165771485	0.006085992664127291	0.007688119026790256	0.005864313657902763	0.006276226043701172	0.004664016389517937	0.006328105926513672	0.006252193450927733	0.007043520883856675	0.0017893726965501214	0.0	0.0	0.0074347036965664946	0.005552048949769213	0.00702279865846445	0.005367571830643695	0.0	0.0	0.005598206081756585	0.006364154815673828	0.0070103226033817675	0.006203358142614102	0.007128070281245246	0.0022382736206054688	0.006648565420010885	0.006611111247408798	0.006522605330598363	0.006926067826665185	0.007211198625770543	0.0	0.0028590251249499717	0.004047998012246673	0.006284636069383612	0.0	0.006240081787109375	0.0016473770141601563	0.006225837815716869	0.0027154922485351563	0.0020501136779785155	0.004400990867785491	0.007773098903541064	0.002765164374445894	0.007096164522113717	0.006057146849509829	0.0076502240354906085	0.0034627914428710938	0.0012502670288085938	0.006078102806427609	0.010720825195312499	0.00643837379851695	0.007005673996451376	0.006258221848790424	0.006295680999755859	0.006586872693463169	0.007727655690573679	0.007305362559988579	0.006102508457352971	0.006467029446115482	0.006053593021946282	0.005873195136082339	0.007122875792146356	0.005069438624501836	0.0033329891644741385	0.0	0.0	0.00616453210239484	0.006589483196481179	0.005918867493825946	0.006513013988294506	0.0075826176838754995	0.006003227923170607	0.006901979840247746	0.003406727379382205	0.007714002031621157	0.006387589129719911	0.006109143393971448	0.00630168914794922	0.00677901697219789	0.004644611668818548	0.006891113415359922	0.004807662963867187
param_model__criterion	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error
param_model__learning_rate	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2
param_model__max_depth	3	3	3	3	3	3	3	3	3	3	3	3	8	8	8	8	8	8	8	8	8	8	8	8	3	3	3	3	3	3	3	3	3	3	3	3	8	8	8	8	8	8	8	8	8	8	8	8	3	3	3	3	3	3	3	3	3	3	3	3	8	8	8	8	8	8	8	8	8	8	8	8	3	3	3	3	3	3	3	3	3	3	3	3	8	8	8	8	8	8	8	8	8	8	8	8	3	3	3	3	3	3	3	3	3	3	3	3	8	8	8	8	8	8	8	8	8	8	8	8	3	3	3	3	3	3	3	3	3	3	3	3	8	8	8	8	8	8	8	8	8	8	8	8
param_model__max_features	0.5	0.5	0.5	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.5	0.5	0.5	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.5	0.5	0.5	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.5	0.5	0.5	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.5	0.5	0.5	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.5	0.5	0.5	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.5	0.5	0.5	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.5	0.5	0.5	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.5	0.5	0.5	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.5	0.5	0.5	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.5	0.5	0.5	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.5	0.5	0.5	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0
param_model__n_estimators	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500
param_model__subsample	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0
