Preprocessing Configuration:{'order': ['feature_extractor', 'imputer', 'scaler', 'selector'], 'feature_extractor': <class 'configs.feature_extractors.VAEFeatureExtractorOverlapping'>, 'feature_extractor_hyperparams': {}, 'imputer': <class 'sklearn.impute._base.SimpleImputer'>, 'imputer_hyperparams': {'strategy': 'median'}, 'scaler': <class 'sklearn.preprocessing._data.StandardScaler'>, 'scaler_hyperparams': {}, 'selector': <class 'sklearn.feature_selection._univariate_selection.SelectKBest'>, 'selector_hyperparams': {'score_func': <function f_classif at 0x00000215E133F7E0>, 'k': 100}, 'param_grid': {'model__n_estimators': [100, 500], 'model__learning_rate': [0.01, 0.1, 0.2], 'model__subsample': [0.4, 0.7, 1.0], 'model__max_depth': [3, 8], 'model__max_features': [0.5, 1.0], 'model__criterion': ['friedman_mse', 'squared_error']}}
 Model Configuration:{'model': <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, 'model_hyperparams': {}, 'param_grid': {'model__n_estimators': [100, 500], 'model__learning_rate': [0.01, 0.1, 0.2], 'model__subsample': [0.4, 0.7, 1.0], 'model__max_depth': [3, 8], 'model__max_features': [0.5, 1.0], 'model__criterion': ['friedman_mse', 'squared_error']}}
 Best Score: 0.5207906558849956
 Best Estimator: Pipeline(steps=[('feature_extractor',
                 <configs.feature_extractors.VAEFeatureExtractorOverlapping object at 0x00000215E13E2E50>),
                ('imputer', SimpleImputer(strategy='median')),
                ('scaler', StandardScaler()), ('selector', SelectKBest(k=100)),
                ('model',
                 GradientBoostingClassifier(learning_rate=0.01,
                                            max_features=1.0, n_estimators=500,
                                            subsample=0.4))])
 Best Parameter Setting:{'model__criterion': 'friedman_mse', 'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__max_features': 1.0, 'model__n_estimators': 500, 'model__subsample': 0.4}
	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143
mean_fit_time	5.296873760223389	6.373122835159302	7.487633275985718	17.348014640808106	45.33604106903076	67.1745813369751	12.136400365829468	18.860269784927368	25.4208251953125	58.632571363449095	87.78537874221801	115.10110249519349	16.40544948577881	25.64131588935852	34.698258018493654	77.48417863845825	125.41807651519775	173.85373358726503	26.244614171981812	43.35112266540527	54.05263195037842	120.63589301109315	205.44989128112792	320.12644624710083	5.396897172927856	10.72606520652771	13.409028005599975	30.847146940231323	48.90117344856262	63.92580089569092	12.145509910583495	19.28013586997986	25.428676891326905	59.56845836639404	81.84007196426391	121.7304105758667	15.019666385650634	25.464363145828248	33.8560507774353	59.98314275741577	50.79963049888611	42.856058263778685	21.49097332954407	41.84310841560364	69.31819067001342	118.93850154876709	97.73453969955445	72.3802387714386	4.488547992706299	7.696049213409424	9.22649269104004	21.413667821884154	32.384974193573	47.053259706497194	12.952061462402344	19.299860286712647	26.601133584976196	52.74736528396606	58.65377407073974	66.71085720062256	9.633202981948852	16.15796618461609	18.380392599105836	33.131107568740845	25.198095178604127	19.876953268051146	25.489280128479002	42.652913331985474	34.12370800971985	67.22998042106629	35.090781450271606	35.36455302238464	3.652011442184448	5.550336647033691	7.262446641921997	16.800909996032715	26.64830584526062	35.39972805976868	6.36283917427063	10.41449327468872	13.927131271362304	31.58246955871582	51.85053644180298	70.40705242156983	8.59191436767578	14.423726511001586	20.010516500473024	42.52440991401672	72.00149178504944	117.89426965713501	17.56634497642517	36.14245204925537	45.92422084808349	98.25073833465576	144.99748315811158	226.53668460845947	5.944403600692749	6.837755632400513	9.118393278121948	21.125401973724365	33.6714973449707	44.61122436523438	7.995112562179566	12.94321050643921	17.363711977005003	39.058972930908205	63.38820819854736	84.5216932296753	10.742459678649903	17.326973056793214	24.50276322364807	44.41853537559509	37.321058082580564	31.99051947593689	21.829631567001343	37.16023516654968	51.1427864074707	75.22831492424011	53.39732728004456	41.26865839958191	3.292104959487915	5.227799701690674	6.941539573669433	16.260285711288454	19.138010692596435	22.94515280723572	6.243049144744873	10.09135684967041	13.45571436882019	30.867577743530273	35.70641536712647	44.01707763671875	8.10707197189331	13.564984035491943	11.700512838363647	19.156112146377563	15.401876974105836	12.436142826080323	15.617096853256225	26.298619031906128	20.975934743881226	40.17003221511841	40.30473027229309	28.3674072265625
std_fit_time	1.6163877546628258	0.6029461834207802	0.45874324409068623	0.6735037013499034	9.931748700839368	2.986673715847548	2.7629587302862757	2.5538940978032456	3.906833193771063	1.2451484283317604	9.377195423978643	15.182027434142018	2.6410099805188443	3.071687408383999	3.1520984832797	1.1661168678955722	10.737174673029063	15.916990350682283	4.756211821410998	2.5994582264753285	8.19701500969664	15.697156347319698	17.850066608096032	32.53482050294874	0.4832462308742919	2.9093191873566813	2.31388976672435	3.245020877794529	1.7420946516843985	2.9851221495158122	2.797447702844919	1.9667014580789386	2.519878781941284	4.17992823773442	10.622975883774915	9.880051593717782	3.2281100623717895	2.5053289057945842	3.610888118150081	2.83133133020023	3.890721626640926	6.003597662211969	0.4572536971579689	7.080723989378669	2.910830157267867	4.228228195372002	4.706390043232887	10.074002264770595	0.08359704171346213	1.0963683523978545	0.5367205200900372	3.0879104032603397	3.8745593752783236	2.956189562803946	1.157878010376358	1.794623213659912	3.2595827471058643	1.5436191593159194	3.1676098508978767	8.129353539367843	0.12772028025856	0.47417548801682335	3.3367785929236753	4.615433624727887	2.0860465697648634	2.4995456792378996	2.256112054412825	2.1783685796071603	3.917070285004678	16.670567303125758	1.5807769285098663	7.598684592876212	0.045160284100157065	0.06149550566238894	0.17148797535945434	0.14380102656067267	0.6195364766154217	0.8802960660274761	0.12930605480796795	0.08440592151820565	0.29632421102084094	0.38529781383719297	1.5135530262225048	1.8428308840353584	0.2214907247064237	0.2611951922169923	0.28196608087223585	0.1959727921488098	0.8250987073946809	11.777131280907481	1.592126103818742	0.6467689162026562	3.3136296728622425	12.566827194023519	13.070575469336195	15.412308749250533	0.5923008425236409	0.19332363214873505	0.23294068464940734	0.2391226989060564	0.8037477987061028	1.6047594569862946	0.1018490820981892	0.3778737739969565	0.41816996702894593	0.43382432764227824	1.4557647213544278	3.1658144265645762	0.2890970110816249	0.30067391968621765	0.6677816588102298	1.0916969450271852	0.9387001557328584	2.12850520136098	0.5723670313590299	1.008076468705226	0.9154875214463308	10.561468395238391	1.8324229515768407	3.1117146754720895	0.05952248300311492	0.11179955309257686	0.20866621453419643	0.24564183002781054	1.0486924251915657	1.7140089286947116	0.11419191387788281	0.24990846874072847	0.36163571077381373	0.5403564138533962	1.7801729469952734	3.8041300178838324	0.13083529511097575	0.2957163145647615	0.7683485901025391	0.9458890050068284	0.5407040264580489	0.8815757612517809	0.22821144918437766	0.621878521652752	1.8978574926343803	4.360462875311554	4.607452093211147	2.891332737634849
mean_score_time	0.008725118637084962	0.0035799503326416015	0.0020604610443115236	0.007147073745727539	0.02513895034790039	0.027228927612304686	0.008595657348632813	0.0041124820709228516	0.005815267562866211	0.006972837448120117	0.009744405746459961	0.012106180191040039	0.008839035034179687	0.014224433898925781	0.015999507904052735	0.01887826919555664	0.023767566680908202	0.02506256103515625	0.02067575454711914	0.008629179000854493	0.00903010368347168	0.01871190071105957	0.04728293418884277	0.03137326240539551	0.0073130130767822266	0.011959075927734375	0.007453441619873047	0.0226715087890625	0.014519596099853515	0.01767115592956543	0.007532596588134766	0.012910985946655273	0.00736846923828125	0.012108039855957032	0.013910675048828125	0.013402080535888672	0.018571138381958008	0.007418918609619141	0.01472020149230957	0.020082473754882812	0.016566038131713867	0.015265607833862304	0.008065557479858399	0.005474710464477539	0.013194799423217773	0.021054792404174804	0.014677858352661133	0.011593246459960937	0.005648231506347657	0.008390855789184571	0.00587930679321289	0.008966588973999023	0.013763856887817384	0.012806367874145509	0.009606456756591797	0.007793951034545899	0.009554481506347657	0.013382339477539062	0.011284780502319337	0.007746219635009766	0.006960821151733398	0.006569957733154297	0.00840311050415039	0.013891458511352539	0.009539127349853516	0.010770511627197266	0.008381938934326172	0.00809478759765625	0.008483028411865235	0.011693668365478516	0.008000898361206054	0.013188886642456054	0.003002357482910156	0.010108852386474609	0.00789194107055664	0.0036501407623291014	0.004857206344604492	0.012157917022705078	0.002754545211791992	0.0062484264373779295	0.004889774322509766	0.009377145767211914	0.0136138916015625	0.012555170059204101	0.009425544738769531	0.008114337921142578	0.003292274475097656	0.01621851921081543	0.016544342041015625	0.01952667236328125	0.008717060089111328	0.00833892822265625	0.00951247215270996	0.018990421295166017	0.01470632553100586	0.02178635597229004	0.011823606491088868	0.00572052001953125	0.004800271987915039	0.0098663330078125	0.009006500244140625	0.012880420684814453	0.005574846267700195	0.004797172546386719	0.006201887130737304	0.011109066009521485	0.010312938690185547	0.01135258674621582	0.008198356628417969	0.006682491302490235	0.010071945190429688	0.013464021682739257	0.010836267471313476	0.01528325080871582	0.012503767013549804	0.006978654861450195	0.006981849670410156	0.015990686416625977	0.008202409744262696	0.01085519790649414	0.008235502243041991	0.005349302291870117	0.0	0.009983491897583009	0.007883405685424805	0.005283975601196289	0.0005060195922851563	0.0	0.0036799430847167967	0.008427286148071289	0.005997228622436524	0.0037167549133300783	0.009271383285522461	0.003002166748046875	0.0070726871490478516	0.012923955917358398	0.004320526123046875	0.0045662403106689455	0.005974388122558594	0.003972387313842774	0.009114456176757813	0.009294414520263672	0.005095195770263672	0.001423215866088867
std_score_time	0.00417004020086419	0.004517359851157641	0.002133077676966538	0.005381926992591082	0.024166955475532104	0.028484533076018316	0.007216539476946053	0.005625482731183605	0.004980538097896147	0.007497491081651226	0.007284105538646839	0.004561200787934146	0.005148482334561742	0.007693599313422158	0.008927544054805994	0.008992266660246603	0.0065934468351666106	0.0063165523487599875	0.02098858980250456	0.0022978542235193907	0.0028005403360350707	0.0021951110901196028	0.03755267700745925	0.008407192320209193	0.005919646485854447	0.0043840764966198275	0.002769103847820614	0.019427834368214297	0.00421533360799123	0.015830560496160925	0.0014427818946842177	0.010121404041244026	0.0012703806096685357	0.002555402004382344	0.005134067368738651	0.003819668554304509	0.015391612191761177	0.0007854724805980887	0.004891982503998657	0.0044356464967861475	0.005918576457216627	0.0037819600240850066	7.22238470329149e-05	0.0017872815846848972	0.0034776159750987312	0.004778555831415593	0.0035734147003615596	0.0032771120525725253	0.001959664663757209	0.003805596033906027	0.001214473777901144	0.0010663969255337372	0.004892873562589009	0.005947859335634964	0.003023152150562819	0.0007708808443165246	0.003316634872759648	0.005652993830985165	0.004608868267216424	0.0013321942714221158	0.0004873265818830237	0.0004954383875586501	0.0030322721016723475	0.0063358972128537685	0.002966469522692035	0.003569920522163853	0.002469553059845143	0.002077928483793052	0.002628431901143772	0.0028174249085146695	0.0003999804164578571	0.005660232973458536	0.006004714965820312	0.005311129445930596	0.006689588206197311	0.006067972929434744	0.006474329622102109	0.006159653245537615	0.00379550266791497	0.00765272874188346	0.006361524571989771	0.007656407729518576	0.0046358622395285065	0.0062779099309231935	0.0076964674300519864	0.006713957597993486	0.006584548950195312	0.0015119875272481917	0.005047871030857664	0.004868318363988832	0.006100914361706138	0.005113271894175295	0.00727066067023708	0.009552005937399506	0.0040678330740376	0.0061670933735329435	0.004237489243808932	0.0019511854750813302	0.0016005424054203097	0.002223691043754355	0.002703999388708992	0.0030867133819636483	0.0019786349726462786	0.0016029357612274873	0.0016162267183041398	0.002972883171341725	0.0030279163998881333	0.002912349563145836	0.0003155909402457502	0.0017152519824757272	0.001998306041983197	0.004307817212460363	0.006497765705765735	0.001141991541139587	0.006251885793237235	0.007160044632112156	0.008976123645218851	0.0012933159086886284	0.005393175361323644	0.006419269242100195	0.006371645568862174	0.0067195697693999	0.0	0.00822675774359169	0.006446087270071845	0.006666763986433863	0.0010120391845703125	0.0	0.0061391088358597546	0.007140916490237654	0.005829211716251251	0.005009923166774291	0.0075720793678501425	0.0037970972435981847	0.007148339730347091	0.006669685867043533	0.006062502248565724	0.006024051750884321	0.0073955558839546385	0.006373582417538513	0.007155097031167363	0.007604838368526128	0.005364323054426579	0.001963993293675194
param_model__criterion	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	friedman_mse	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error	squared_error
param_model__learning_rate	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2
param_model__max_depth	3	3	3	3	3	3	3	3	3	3	3	3	8	8	8	8	8	8	8	8	8	8	8	8	3	3	3	3	3	3	3	3	3	3	3	3	8	8	8	8	8	8	8	8	8	8	8	8	3	3	3	3	3	3	3	3	3	3	3	3	8	8	8	8	8	8	8	8	8	8	8	8	3	3	3	3	3	3	3	3	3	3	3	3	8	8	8	8	8	8	8	8	8	8	8	8	3	3	3	3	3	3	3	3	3	3	3	3	8	8	8	8	8	8	8	8	8	8	8	8	3	3	3	3	3	3	3	3	3	3	3	3	8	8	8	8	8	8	8	8	8	8	8	8
param_model__max_features	0.5	0.5	0.5	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.5	0.5	0.5	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.5	0.5	0.5	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.5	0.5	0.5	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.5	0.5	0.5	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.5	0.5	0.5	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.5	0.5	0.5	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.5	0.5	0.5	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.5	0.5	0.5	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.5	0.5	0.5	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.5	0.5	0.5	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.5	0.5	0.5	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0
param_model__n_estimators	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500	100	100	100	500	500	500
param_model__subsample	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0	0.4	0.7	1.0
